marca,anio,localizacion,kilometraje,combustible,distintivo_ambiental,garantia,cambio,carroceria,plazas,potencia,puertas,color,precio,vendedor,consumo_medio,certificado,fecha_extraccion,referencia
MERCEDES-BENZ Clase GLC Coupé 200 4Matic 9G-Tronic,03/2021,Málaga,52.000 km,Gasolina,ECO,12 meses,Automático,Coupe,5 asientos,197 cv,5 Puertas,Azul,46.800 €,"MARTINSA MOTOR
Profesional","Consumo medio
7,10
litros/100 km",Si,2025-02-18 12:16:56.670769,ref15334954
SEAT Arona 1.0 TSI S&S FR DSG7 110,07/2023,Málaga,23.000 km,Gasolina,C,18 meses,Automático,Todo Terreno,5 asientos,110 cv,5 Puertas,Blanco,22.300 €,"MARTINSA MOTOR
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 12:17:04.261429,ref15334646
VOLKSWAGEN Polo 1.0 TSI R-Line DSG 70kW,05/2022,Málaga,40.000 km,Gasolina,C,12 meses,Automático,Berlina,5 asientos,95 cv,5 Puertas,Gris,20.300 €,"MARTINSA MOTOR
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 12:17:10.561118,ref15328479
VOLKSWAGEN Polo 1.0 TSI R-Line DSG 81kW,09/2023,Málaga,18.000 km,Gasolina,C,18 meses,Automático,Berlina,5 asientos,110 cv,5 Puertas,Negro,23.800 €,"MARTINSA MOTOR
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 12:17:17.731061,ref15320380
TOYOTA Yaris 100H 1.5 Active,09/2020,Málaga,41.000 km,Gasolina y corriente eléctrica,ECO,12 meses,Automático,Berlina,5 asientos,100 cv,5 Puertas,Blanco,19.300 €,"MARTINSA MOTOR
Profesional","Consumo medio
3,70
litros/100 km",Si,2025-02-18 12:17:25.835464,ref15319925
RENAULT Clio Blue dCi Business 74kW,12/2021,Málaga,54.000 km,Diesel,C,12 meses,Manual,Berlina,5 asientos,100 cv,5 Puertas,Blanco,15.800 €,"MARTINSA MOTOR
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 12:17:32.250314,ref15319497
RENAULT Mégane 1.5dCi Blue Life 85kW,12/2021,Málaga,47.000 km,Diesel,C,12 meses,Manual,Berlina,5 asientos,115 cv,5 Puertas,Blanco,17.800 €,"MARTINSA MOTOR
Profesional","Consumo medio
3,90
litros/100 km",Si,2025-02-18 12:17:37.597308,ref15318805
VOLKSWAGEN Polo 1.0 TSI R-Line 70kW,12/2021,Málaga,21.000 km,Gasolina,C,12 meses,Manual,Berlina,5 asientos,95 cv,5 Puertas,Blanco,19.300 €,"MARTINSA MOTOR
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 12:17:43.644339,ref15318499
BMW Serie 3 318dA M Sport,05/2024,Málaga,13.000 km,Diesel,ECO,24 meses,Automático,Berlina,5 asientos,150 cv,4 Puertas,Gris,42.300 €,"MARTINSA MOTOR
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 12:17:50.859351,ref15303542
BMW Serie 1 116d,03/2019,Málaga,52.000 km,Diesel,C,12 meses,Manual,Berlina,5 asientos,116 cv,5 Puertas,Blanco,19.300 €,"MARTINSA MOTOR
Profesional","Consumo medio
3,80
litros/100 km",Si,2025-02-18 12:17:57.066789,ref15303360
